"year","postalcode","percentagepopulationover65","percentagepopulationunder18","percentagesinglepersonhouseholds","population","incomesperhousehold","netincomesperhousehold","incomesperunitofconsumption","grossincomesperperson","netincomesperperson","incomessourceisotherbenefits","incomessourceisotherincomes","incomessourceispension","incomessourceisunemploymentbenefit","incomessourceissalary","giniindex","incomesratioq80byq20","averagepopulationage","peopleperhousehold"
2023,"25194",16.78043216598842,19.133518656502552,27.092233621826104,17447,45451,37299,21807,17820,14612,742,2167,3415,336,11158,27,2,43,2
2024,"25194",16.78043216598842,19.133518656502552,27.092233621826104,17447,45451,37299,21807,17820,14612,742,2167,3415,336,11158,27,2,43,2
2015,"25195",12.598177030585376,21.182074134089525,26.608162851934374,4937,36487,30631,17568,13627,11443,395,1909,2138,312,8871,29,2,40,2
2016,"25195",12.49184241941902,21.485037803422205,25.814783127735772,5026,37999,31892,18171,14128,11857,458,1933,2217,284,9235,30,2,41,2
2017,"25195",12.654264475743348,21.53971048513302,27.006181533646323,5112,39084,32625,18803,14779,12339,465,1744,2304,222,10043,29,2,41,2
2018,"25195",13.012705155435413,21.403900366866193,27.41185557057347,5179,50422,41248,23819,19437,15897,553,5796,2402,228,10457,29,2,41,2
2019,"25195",13.13406130268199,21.91726053639847,26.98181992337165,5220,42862,35453,20581,16350,13530,584,2049,2475,203,11037,28,2,41,2
2020,"25195",13.378351690087351,22.10199392328143,27.1714204329662,5266,43325,35852,20775,16479,13642,644,1754,2643,605,10832,26,2,41,2
2021,"25195",14.201222540592166,21.555873925501434,28.370429799426937,5235,48254,39438,23182,18748,15323,689,3188,2780,335,11754,27,2,41,2
2022,"25195",14.201222540592166,21.555873925501434,28.370429799426937,5235,48254,39438,23182,18748,15323,689,3188,2780,335,11754,27,2,41,2
2023,"25195",14.201222540592166,21.555873925501434,28.370429799426937,5235,48254,39438,23182,18748,15323,689,3188,2780,335,11754,27,2,41,2
2024,"25195",14.201222540592166,21.555873925501434,28.370429799426937,5235,48254,39438,23182,18748,15323,689,3188,2780,335,11754,27,2,41,2
2015,"25196",15.52928721418572,20.1460627624825,23.376003266448908,17144,47229,38032,20996,16878,13617,522,2947,2685,245,10477,31,2,41,2
2016,"25196",15.903875247294309,20.032119166763646,23.220417781915515,17186,49719,39706,21990,17796,14241,581,3243,2836,223,10912,31,2,41,2
2017,"25196",16.289890694580997,19.79607310161356,24.136232722225433,17291,50361,40286,22484,18286,14658,586,3006,2974,190,11528,31,2,42,2
2018,"25196",16.36012840110058,19.77757260776521,23.6583185570162,16355,57312,45271,25215,20860,16521,650,4568,3115,185,12340,30,2,42,2
2019,"25196",16.77744107744108,19.646446608946608,22.888203463203464,16632,56792,44913,24913,20412,16191,671,3451,3226,183,12878,29,2,42,2
2020,"25196",17.273893166506255,19.522010346487008,22.980642444658326,16624,58548,46242,25648,21131,16739,743,3419,3492,532,12944,29,2,42,2
2021,"25196",17.73049027794346,19.644005725873793,23.0191041393296,16766,61925,46300,26510,22399,16848,725,4220,3528,315,13608,29,2,42,2
2022,"25196",17.73049027794346,19.644005725873793,23.0191041393296,16766,61925,46300,26510,22399,16848,725,4220,3528,315,13608,29,2,42,2
2023,"25196",17.73049027794346,19.644005725873793,23.0191041393296,16766,61925,46300,26510,22399,16848,725,4220,3528,315,13608,29,2,42,2
2024,"25196",17.73049027794346,19.644005725873793,23.0191041393296,16766,61925,46300,26510,22399,16848,725,4220,3528,315,13608,29,2,42,2
2015,"25197",15.522969873069275,19.614915634398734,26.101254014375286,19617,33944,28765,16804,13179,11169,535,1802,2531,268,8042,30,2,42,2
2016,"25197",15.590356478455426,19.825144552265073,25.561335411534014,19889,35445,29848,17506,13738,11569,554,1830,2640,228,8483,30,2,42,2
2017,"25197",15.71890687657805,19.80318332590722,26.8007921184217,20199,36933,30976,18216,14392,12070,565,1909,2869,196,8853,29,2,42,2
2018,"25197",15.775323281120382,19.628956228956234,26.31491728883033,20493,38475,32167,18913,14892,12449,679,2094,2691,201,9225,28,2,42,2
2019,"25197",15.991260340632602,19.377805352798056,26.157075425790755,20550,40440,33710,19741,15666,13057,719,2040,2874,208,9823,28,2,43,2
2020,"25197",16.323114896912205,19.537106766043944,26.153305585132127,20662,40628,33897,19892,15729,13127,794,1770,2944,540,9681,27,2,43,2
2021,"25197",16.377606380438415,19.64011652896509,26.2902335355079,20939,43237,35659,20871,16783,13844,768,2130,3025,335,10525,27,2,43,2
2022,"25197",16.377606380438415,19.64011652896509,26.2902335355079,20939,43237,35659,20871,16783,13844,768,2130,3025,335,10525,27,2,43,2
2023,"25197",16.377606380438415,19.64011652896509,26.2902335355079,20939,43237,35659,20871,16783,13844,768,2130,3025,335,10525,27,2,43,2
